horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start
24,11065,5.190751912501728,7.437462213533853,45.97825299262279,0.16773133474738244,0.5494496715672136,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
48,11065,5.6433856706488905,8.45099911817907,48.47055162636891,-0.0743585886628082,0.3795712933274238,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
1,11065,2.919221368880494,4.222313302671134,30.949900589033973,0.7326462110509109,-0.025910276944853847,dlinear,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
6,11065,4.191945708759543,5.942636433614079,40.08139677225733,0.4705802836428903,-0.12587626404046903,dlinear,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
12,11065,4.604261976572059,6.638797004068041,42.283347747183186,0.33851661312297243,0.03033744548436909,dlinear,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
24,11065,4.926169257047109,7.1759650709699105,44.313164815854314,0.2252267254828556,-0.12234078304992775,dlinear,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
48,11065,5.279560732181612,7.695990047240585,47.40277107044796,0.10903192652109173,0.11217903064970404,dlinear,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
1,11065,2.9161199237203577,4.093793631900805,30.75211081351851,0.7486740548659949,-0.20191756926184048,lstm,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
6,11065,3.9868659506623043,5.723788837257681,38.35883678396592,0.5088558277475159,-0.4863122813608977,lstm,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
12,11065,4.423409616271134,6.459082812022212,41.2566713882007,0.3738449781094474,-0.5433752370888003,lstm,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
24,11065,4.864826817322359,7.1524960778011595,44.12576265001146,0.23028623023637718,-0.1705009708052246,lstm,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
48,11065,5.103088321135801,7.59280061717529,45.91204331413978,0.132764317544541,-0.45819056746488884,lstm,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
1,11065,4.666947384907873,7.195574021412715,42.855639504758386,0.22354494347003273,-2.3461114249749793,timemixer,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
6,11065,4.937070219211324,7.703724366426743,44.9897936215501,0.1103006774738583,-2.598628972272123,timemixer,MY1,London Marylebone Road,Urban Traffic,2,30,station_available_history
